station_number,station_name,total_departures,active_days,weekday_departures,weekend_departures,morning_peak_departures,evening_peak_departures,avg_departure_duration_ms,avg_daily_departures,weekend_departure_share,morning_peak_departure_share,evening_peak_departure_share,total_arrivals,active_days_arr,avg_daily_arrivals,net_flow,imbalance_ratio,cluster,recommended_action,pca1,pca2
1015.0,"New Globe Walk, Bankside",777.0,30.0,546.0,231.0,74.0,271.0,3214520.592020592,25.9,0.2972972972972973,0.09523809523809523,0.3487773487773488,781,30,26.033333333333335,4.0,0.0025657472738935213,4,Prioritise evening dock relief and destination-side balancing,0.5597925489457408,-1.0599421671382678
1016.0,"Hereford Road, Bayswater",871.0,28.0,585.0,286.0,216.0,204.0,5740205.708381171,31.107142857142858,0.3283582089552239,0.24799081515499427,0.23421354764638347,808,28,28.857142857142858,-63.0,0.0375,2,Standard commuter-period rebalancing,-0.5374714647479171,0.5637588070934011
1017.0,"Great Dover Street, The Borough",1004.0,30.0,700.0,304.0,277.0,155.0,986874.7470119522,33.46666666666667,0.30278884462151395,0.27589641434262946,0.15438247011952191,963,30,32.1,-41.0,0.020833333333333332,2,Standard commuter-period rebalancing,-0.9674623272686896,0.8437461451153234
1018.0,"Phillimore Gardens, Kensington",1029.0,30.0,681.0,348.0,123.0,253.0,1295638.5782312925,34.3,0.33819241982507287,0.119533527696793,0.24586977648202138,1141,30,38.03333333333333,112.0,0.05158912943344081,2,Standard commuter-period rebalancing,0.3313238471469589,-0.09505190276747147
1019.0,"Ampton Street , Clerkenwell",650.0,30.0,449.0,201.0,145.0,113.0,6088495.043076923,21.666666666666668,0.30923076923076925,0.2230769230769231,0.17384615384615384,608,30,20.266666666666666,-42.0,0.03335980937251787,2,Standard commuter-period rebalancing,-1.1580489609928812,0.4439183222401256
1020.0,"Leonard Circus , Shoreditch",1289.0,30.0,1005.0,284.0,174.0,459.0,952651.0279286269,42.96666666666667,0.22032583397982933,0.13498836307214895,0.3560899922420481,1327,30,44.233333333333334,38.0,0.014520443255636225,4,Prioritise evening dock relief and destination-side balancing,1.3263614032392936,-1.1143816083849154
1022.0,"Brunswick Square, Bloomsbury",1283.0,31.0,897.0,386.0,114.0,414.0,5101172.34060795,41.38709677419355,0.3008573655494934,0.08885424785658613,0.32268121590023385,1264,30,42.13333333333333,-19.0,0.007456828885400314,4,Prioritise evening dock relief and destination-side balancing,1.290873662303913,-0.31957056319635
1023.0,"River Street , Clerkenwell",540.0,30.0,377.0,163.0,150.0,101.0,876162.1111111111,18.0,0.30185185185185187,0.2777777777777778,0.18703703703703703,495,30,16.5,-45.0,0.04343629343629344,2,Standard commuter-period rebalancing,-1.6323214231483834,0.055805319702108266
1024.0,"Park Street, Bankside",873.0,30.0,531.0,342.0,39.0,186.0,1485109.2176403208,29.1,0.3917525773195876,0.044673539518900345,0.21305841924398625,875,30,29.166666666666668,2.0,0.0011435105774728416,2,Standard commuter-period rebalancing,0.16568703869998103,0.19160314489396604
1025.0,"Bolsover Street, Fitzrovia",1064.0,30.0,766.0,298.0,167.0,300.0,1274897.8796992481,35.46666666666667,0.2800751879699248,0.15695488721804512,0.2819548872180451,1074,30,35.8,10.0,0.004675081813931743,2,Standard commuter-period rebalancing,0.41116962382888755,-0.36210414044396555
1026.0,"Roscoe Street, St. Luke's",709.0,30.0,525.0,184.0,148.0,169.0,801261.8208744711,23.633333333333333,0.25952045133991536,0.20874471086036672,0.2383638928067701,720,30,24.0,11.0,0.007692307692307693,2,Standard commuter-period rebalancing,-0.6450864570285947,-0.4535444565184081
1027.0,"Warwick Avenue Station, Maida Vale",1254.0,30.0,786.0,468.0,315.0,238.0,1761668.3771929825,41.8,0.37320574162679426,0.2511961722488038,0.189792663476874,1203,31,38.806451612903224,-51.0,0.020748576078112285,2,Standard commuter-period rebalancing,-0.33823289141095736,1.3076667715182986
